Curso;Área;Categorias;Código WhatsApp;Caminho;URL final (GitHub Pages)
Metalurgia;Indústria e manutenção;2 a 7 dias (SEI);LP-METALURGIA;/lp/metalurgia/;https://michaelxsouza.github.io/LiderTec/lp/metalurgia/
Mineração;Indústria e manutenção;2 a 7 dias (SEI);LP-MINERACAO;/lp/mineracao/;https://michaelxsouza.github.io/LiderTec/lp/mineracao/
Nutrição e Dietética;Saúde e bem-estar;2 a 7 dias (SEI);LP-NUTRICAO-E-DIETETICA;/lp/nutricao-e-dietetica/;https://michaelxsouza.github.io/LiderTec/lp/nutricao-e-dietetica/
Prevenção e Combate a Incêndios;Segurança e proteção;2 a 7 dias (SEI);LP-PREVENCAO-E-COMBATE-A-INCENDIOS;/lp/prevencao-e-combate-a-incendios/;https://michaelxsouza.github.io/LiderTec/lp/prevencao-e-combate-a-incendios/
Qualidade;Gestão e negócios;2 a 7 dias (SEI);LP-QUALIDADE;/lp/qualidade/;https://michaelxsouza.github.io/LiderTec/lp/qualidade/
Química;Indústria e manutenção;2 a 7 dias (SEI);LP-QUIMICA;/lp/quimica/;https://michaelxsouza.github.io/LiderTec/lp/quimica/
Radiologia;Saúde e bem-estar;2 a 7 dias (SEI);LP-RADIOLOGIA;/lp/radiologia/;https://michaelxsouza.github.io/LiderTec/lp/radiologia/
Recursos Humanos;Gestão e negócios;2 a 7 dias (SEI);LP-RECURSOS-HUMANOS;/lp/recursos-humanos/;https://michaelxsouza.github.io/LiderTec/lp/recursos-humanos/
Rede de Computadores;Tecnologia e comunicação;2 a 7 dias (SEI);LP-REDE-DE-COMPUTADORES;/lp/rede-de-computadores/;https://michaelxsouza.github.io/LiderTec/lp/rede-de-computadores/
Refrigeração e Climatização;Indústria e manutenção;2 a 7 dias (SEI);LP-REFRIGERACAO-E-CLIMATIZACAO;/lp/refrigeracao-e-climatizacao/;https://michaelxsouza.github.io/LiderTec/lp/refrigeracao-e-climatizacao/
Saúde Bucal;Saúde e bem-estar;2 a 7 dias (SEI);LP-SAUDE-BUCAL;/lp/saude-bucal/;https://michaelxsouza.github.io/LiderTec/lp/saude-bucal/
Secretaria Escolar;Educação e humanidades;2 a 7 dias (SEI);LP-SECRETARIA-ESCOLAR;/lp/secretaria-escolar/;https://michaelxsouza.github.io/LiderTec/lp/secretaria-escolar/
Secretaria Escolar Eletrônica;Educação e humanidades;2 a 7 dias (SEI);LP-SECRETARIA-ESCOLAR-ELETRONICA;/lp/secretaria-escolar-eletronica/;https://michaelxsouza.github.io/LiderTec/lp/secretaria-escolar-eletronica/
Segurança do Trabalho;Segurança e proteção;10 a 15 dias (CT) / 2 a 7 dias (SEI);LP-SEGURANCA-DO-TRABALHO;/lp/seguranca-do-trabalho/;https://michaelxsouza.github.io/LiderTec/lp/seguranca-do-trabalho/
Serviços Jurídicos;Gestão e negócios;2 a 7 dias (SEI);LP-SERVICOS-JURIDICOS;/lp/servicos-juridicos/;https://michaelxsouza.github.io/LiderTec/lp/servicos-juridicos/
Sistema de Energia Renovável;Indústria e manutenção;2 a 7 dias (SEI);LP-SISTEMA-DE-ENERGIA-RENOVAVEL;/lp/sistema-de-energia-renovavel/;https://michaelxsouza.github.io/LiderTec/lp/sistema-de-energia-renovavel/
Telecomunicações;Tecnologia e comunicação;7 dias (IT) / 2 a 7 dias (SEI);LP-TELECOMUNICACOES;/lp/telecomunicacoes/;https://michaelxsouza.github.io/LiderTec/lp/telecomunicacoes/
Teologia;Educação e humanidades;7 dias (IT);LP-TEOLOGIA;/lp/teologia/;https://michaelxsouza.github.io/LiderTec/lp/teologia/
Tradução e Interpretação de Libras;Educação e humanidades;2 a 7 dias (SEI);LP-TRADUCAO-E-INTERPRETACAO-DE-LIBRAS;/lp/traducao-e-interpretacao-de-libras/;https://michaelxsouza.github.io/LiderTec/lp/traducao-e-interpretacao-de-libras/
Transações Imobiliárias;Gestão e negócios;10 a 15 dias (CT) / 2 a 7 dias (SEI);LP-TRANSACOES-IMOBILIARIAS;/lp/transacoes-imobiliarias/;https://michaelxsouza.github.io/LiderTec/lp/transacoes-imobiliarias/
Trânsito;Segurança e proteção;2 a 7 dias (SEI);LP-TRANSITO;/lp/transito/;https://michaelxsouza.github.io/LiderTec/lp/transito/
Vendas;Gestão e negócios;2 a 7 dias (SEI);LP-VENDAS;/lp/vendas/;https://michaelxsouza.github.io/LiderTec/lp/vendas/
Veterinária;Saúde e bem-estar;10 a 15 dias (CT) / 2 a 7 dias (SEI);LP-VETERINARIA;/lp/veterinaria/;https://michaelxsouza.github.io/LiderTec/lp/veterinaria/
Óptica;Saúde e bem-estar;2 a 7 dias (SEI);LP-OPTICA;/lp/optica/;https://michaelxsouza.github.io/LiderTec/lp/optica/
